city,lat,lon
North Charleston,32.8546197,-79.9748103
Louisville,38.2526647,-85.7584557
Watsonville,36.910231,-121.7568946
Coconut Creek,26.2517482,-80.1789351
Bradenton,27.4989278,-82.5748194
Carlsbad,33.1580933,-117.3505939
Texas City,29.383845,-94.9027002
Redding,40.5865396,-122.3916754
Wyoming,42.9133602,-85.7053085
Lorain,41.452819,-82.1823746
Roy,41.1616108,-112.0263313
Fort Lauderdale,26.1224386,-80.1373174
Warner Robins,32.6130007,-83.624201
Clearwater,27.9658533,-82.8001026
Cutler Bay,25.5808323,-80.3468593
Florence,34.79981,-87.677251
Terre Haute,39.4667034,-87.4139092
Temple,31.0982344,-97.342782
Beavercreek,39.7092262,-84.0632685
Sioux Falls,43.5445959,-96.7311034
Columbus,39.2014404,-85.9213796
Margate,26.2445263,-80.206436
Leominster,42.5250906,-71.759794
Warwick,41.7001009,-71.4161671
Bakersfield,35.3732921,-119.0187125
Miami,25.7616798,-80.1917902
Lake Charles,30.2265949,-93.2173758
Richland,46.2856907,-119.2844621
Hickory,35.7344538,-81.3444573
Goose Creek,32.9810059,-80.0325867
Little Rock,34.7464809,-92.2895948
Santa Ana,33.7455731,-117.8678338
White Plains,41.0339862,-73.7629097
Idaho Falls,43.4916514,-112.0339645
Bellevue,47.610377,-122.2006786
Roseville,38.7521235,-121.2880059
Perth Amboy,40.5067723,-74.2654234
Peabody,42.5278731,-70.9286609
Grand Island,40.9263957,-98.3420118
Columbia,38.9517053,-92.3340724
Racine,42.7261309,-87.7828523
Carmel,39.978371,-86.1180435
Portage,42.2011538,-85.5800022
Middletown,39.5150576,-84.3982763
Woodland,38.6785157,-121.7732971
Revere,42.4084302,-71.0119948
Euless,32.8370727,-97.0819541
Arlington Heights,42.0883603,-87.9806265
Hemet,33.7475203,-116.9719684
High Point,35.9556923,-80.0053176
Newark,40.0581205,-82.4012642
Midwest City,35.4495065,-97.3967019
San Marcos,33.1433723,-117.1661449
Port Orange,29.1383165,-80.9956105
Lakewood,33.8536269,-118.1339563
Westerville,40.1261743,-82.9290696
Rockford,42.2711311,-89.0939952
El Cajon,32.7947731,-116.9625269
St. Petersburg,27.773056,-82.64
Downers Grove,41.8089191,-88.0111746
Milford,41.2306979,-73.064036
Albany,44.6365107,-123.1059282
Las Vegas,36.1699412,-115.1398296
Pasadena,29.6910625,-95.2091006
Port St. Lucie,27.2730492,-80.3582261
Cedar Rapids,41.9778795,-91.6656232
Ormond Beach,29.2858129,-81.0558894
Quincy,42.2528772,-71.0022705
Napa,38.2975381,-122.286865
Aurora,39.7294319,-104.8319195
Duluth,46.7866719,-92.1004852
Roanoke,37.2709704,-79.9414266
Bend,44.0581728,-121.3153096
Apple Valley,34.5008311,-117.1858759
Waltham,42.3764852,-71.2356113
Fort Myers,26.640628,-81.8723084
Tampa,27.950575,-82.4571776
Upland,34.09751,-117.6483876
Danville,36.5859718,-79.3950228
Beloit,42.5083482,-89.0317765
Plantation,26.1275862,-80.2331036
Colorado Springs,38.8338816,-104.8213634
Modesto,37.6390972,-120.9968782
Grand Rapids,42.9633599,-85.6680863
Oak Park,41.8850317,-87.7845025
Sarasota,27.3364347,-82.5306527
Jurupa Valley,33.9971974,-117.4854802
Bellflower,33.8816818,-118.1170117
Boulder,40.0149856,-105.2705456
Santa Fe,35.6869752,-105.937799
Coachella,33.6803003,-116.173894
Marlborough,42.3459271,-71.5522874
Riverside,33.9533487,-117.3961564
Palmdale,34.5794343,-118.1164613
Novato,38.1074198,-122.5697032
Layton,41.0602216,-111.9710529
Bolingbrook,41.6986416,-88.0683955
Mission Viejo,33.6000232,-117.6719953
Glenview,42.0697509,-87.7878408
Lincoln,38.891565,-121.2930079
St. Joseph,39.7674578,-94.846681
Redondo Beach,33.8491816,-118.3884078
Houston,29.7604267,-95.3698028
Temecula,33.4936391,-117.1483648
Ann Arbor,42.2808256,-83.7430378
Beaumont,30.080174,-94.1265562
East Lansing,42.7369792,-84.4838654
Santee,32.8383828,-116.9739167
Tamarac,26.2128609,-80.2497707
Bellevue,41.1543623,-95.9145568
Pembroke Pines,26.007765,-80.2962555
Springdale,36.1867442,-94.1288141
Oxnard,34.1975048,-119.1770516
Odessa,31.8456816,-102.3676431
Stillwater,36.1156071,-97.0583681
Brockton,42.0834335,-71.0183787
Bayonne,40.6687141,-74.1143091
Paramount,33.8894598,-118.1597911
Moline,41.5067003,-90.5151342
Meridian,32.3643098,-88.703656
Cleveland,35.1595182,-84.8766115
Jersey City,40.7281575,-74.0776417
St. Paul,44.9537029,-93.0899578
Deltona,28.9005446,-81.2636738
Freeport,40.6576022,-73.5831835
Iowa City,41.6611277,-91.5301683
Anaheim,33.8352932,-117.9145036
Apple Valley,44.7319094,-93.21772
Great Falls,47.4941836,-111.2833449
West Valley City,40.6916132,-112.0010501
Hampton,37.0298687,-76.3452218
Georgetown,30.6332618,-97.6779842
Orem,40.2968979,-111.6946475
Monrovia,34.1442616,-118.0019482
Keller,32.9341893,-97.229298
San Francisco,37.7749295,-122.4194155
Fontana,34.0922335,-117.435048
Frisco,33.1506744,-96.8236116
Chino Hills,33.9898188,-117.7325848
Poway,32.9628232,-117.0358646
Huber Heights,39.843947,-84.1246608
New Brunswick,40.4862157,-74.4518188
Norfolk,36.8507689,-76.2858726
Hillsboro,45.5228939,-122.989827
San Jacinto,33.7839084,-116.958635
Pensacola,30.421309,-87.2169149
Hamilton,39.3995008,-84.5613355
Florence,34.1954331,-79.7625625
San Bernardino,34.1083449,-117.2897652
Peachtree Corners,33.9698929,-84.2214551
Victorville,34.5362184,-117.2927641
Gary,41.5933696,-87.3464271
Casa Grande,32.8795022,-111.7573521
Morgan Hill,37.1305012,-121.6543901
Dubuque,42.5005583,-90.6645718
Syracuse,43.0481221,-76.1474244
Clarksville,36.5297706,-87.3594528
Lakeland,28.0394654,-81.9498042
Valley Stream,40.6642699,-73.7084645
Dover,39.158168,-75.5243682
Moorhead,46.8737648,-96.7678039
Culver City,34.0211224,-118.3964665
Palatine,42.1103041,-88.03424
Seattle,47.6062095,-122.3320708
Covington,39.0836712,-84.5085536
Elk Grove,38.4087993,-121.3716178
Shreveport,32.5251516,-93.7501789
Ogden,41.223,-111.9738304
Harrisonburg,38.4495688,-78.8689155
Inglewood,33.9616801,-118.3531311
Pasadena,34.1477849,-118.1445155
Lawrence,42.7070354,-71.1631137
Lake Oswego,45.4206749,-122.6706498
Petaluma,38.232417,-122.6366524
Springfield,39.9242266,-83.8088171
Florissant,38.789217,-90.322614
Annapolis,38.9784453,-76.4921829
Chapel Hill,35.9131996,-79.0558445
Lawrence,39.8386516,-86.0252612
Calexico,32.6789476,-115.4988834
Calumet City,41.6155909,-87.5294871
Missoula,46.8787176,-113.996586
Clovis,36.8252277,-119.7029194
Pearland,29.5635666,-95.2860474
Gilbert,33.3528264,-111.789027
Wausau,44.9591352,-89.6301221
Raleigh,35.7795897,-78.6381787
Orange,33.7877944,-117.8531119
Walnut Creek,37.9100783,-122.0651819
Bremerton,47.5673202,-122.6329356
Porterville,36.06523,-119.0167679
Marana,32.436381,-111.2224422
Tallahassee,30.4382559,-84.2807329
Conroe,30.3118769,-95.4560512
Blacksburg,37.2295733,-80.4139393
San Antonio,29.4241219,-98.4936282
Hartford,41.7637111,-72.6850932
Waterloo,42.492786,-92.3425775
Binghamton,42.0986867,-75.9179738
Meridian,43.6121087,-116.3915131
Fond du Lac,43.7730448,-88.4470508
Baytown,29.7355047,-94.9774274
Cary,35.79154,-78.7811169
Weymouth Town,42.2180724,-70.9410356
Tulsa,36.1539816,-95.992775
Mission,26.2159066,-98.3252932
Cuyahoga Falls,41.1339449,-81.4845585
Coon Rapids,45.1732394,-93.3030063
San Mateo,37.5629917,-122.3255254
Orlando,28.5383355,-81.3792365
Casper,42.866632,-106.313081
Bedford,32.844017,-97.1430671
Wilmington,34.2257255,-77.9447102
Pinellas Park,27.8428025,-82.6995443
North Miami Beach,25.9331488,-80.1625463
Kansas City,39.114053,-94.6274636
Fitchburg,42.5834228,-71.8022955
Wheeling,42.1391927,-87.9289591
Newton,42.3370413,-71.2092214
North Miami,25.8900949,-80.1867138
Norwich,41.5242649,-72.0759105
Newark,40.735657,-74.1723667
Alexandria,31.3112936,-92.4451371
Blaine,45.1607987,-93.2349489
Harlingen,26.1906306,-97.6961026
Lompoc,34.6391501,-120.4579409
Denton,33.2148412,-97.1330683
Galveston,29.3013479,-94.7976958
Greenwood,39.6136578,-86.1066526
Salinas,36.6777372,-121.6555013
Miami Gardens,25.9420377,-80.2456045
Huntington,38.4192496,-82.445154
Laredo,27.5305671,-99.4803241
Melbourne,28.0836269,-80.6081089
Haltom City,32.7995738,-97.2691817
Palm Bay,28.0344621,-80.5886646
Wilson,35.7212689,-77.9155395
Bountiful,40.8893895,-111.880771
Ceres,37.5949316,-120.9577098
Parma,41.4047742,-81.7229086
New Bedford,41.6362152,-70.934205
Redmond,47.6739881,-122.121512
Brentwood,37.931868,-121.6957863
Davis,38.5449065,-121.7405167
La Mirada,33.9172357,-118.0120086
Smyrna,35.9828412,-86.5186045
Altoona,40.5186809,-78.3947359
Dothan,31.2232313,-85.3904888
East Orange,40.767323,-74.2048677
Tinley Park,41.5731442,-87.7932939
Biloxi,30.3960318,-88.8853078
Urbana,40.1105875,-88.2072697
Garden Grove,33.7739053,-117.9414477
Lynwood,33.930293,-118.2114603
Northglenn,39.8961821,-104.9811468
Canton,40.7989473,-81.378447
Brookhaven,33.8651033,-84.3365917
Baton Rouge,30.4582829,-91.1403196
Bristol,41.6717648,-72.9492703
Independence,39.0911161,-94.4155068
Lansing,42.732535,-84.5555347
Orland Park,41.6303103,-87.8539425
Vineland,39.4863773,-75.0259637
Green Bay,44.519159,-88.019826
Evanston,42.0450722,-87.6876969
Ocoee,28.5691677,-81.5439619
Los Angeles,34.0522342,-118.2436849
Federal Way,47.3223221,-122.3126222
West Jordan,40.6096698,-111.9391031
Yucaipa,34.033625,-117.0430865
Pittsburgh,40.4406248,-79.9958864
Downey,33.9401088,-118.1331593
Cicero,41.8455877,-87.7539448
South Gate,33.954737,-118.2120161
Panama City,30.1588129,-85.6602058
Joplin,37.0842271,-94.513281
League City,29.5074538,-95.0949303
Salt Lake City,40.7607793,-111.8910474
Fort Pierce,27.4467056,-80.3256056
Phoenix,33.4483771,-112.0740373
Corvallis,44.5645659,-123.2620435
Cedar Hill,32.5884689,-96.9561152
Chicopee,42.1487043,-72.6078672
Ocala,29.1871986,-82.1400923
Roswell,34.0232431,-84.3615555
Park Ridge,42.0111412,-87.8406192
Concord,43.2081366,-71.5375718
Olympia,47.0378741,-122.9006951
Huntington Beach,33.660297,-117.9992265
Schenectady,42.8142432,-73.9395687
Denver,39.7392358,-104.990251
Springfield,39.7817213,-89.6501481
Campbell,37.2871651,-121.9499568
Moreno Valley,33.9424658,-117.2296717
Kettering,39.6895036,-84.1688274
Lincoln Park,42.2505943,-83.1785361
Lake Havasu City,34.483901,-114.3224548
North Little Rock,34.769536,-92.2670941
Reno,39.5296329,-119.8138027
Littleton,39.613321,-105.0166498
Prescott,34.5400242,-112.4685025
Dublin,37.7021521,-121.9357918
Texarkana,33.425125,-94.0476882
Portland,43.661471,-70.2553259
Brooklyn Park,45.0941315,-93.3563405
West Haven,41.2705484,-72.9469711
El Centro,32.792,-115.5630514
The Colony,33.0806083,-96.8928309
Flint,43.0125274,-83.6874562
Pittsburg,38.0279762,-121.8846806
Buckeye,33.3703197,-112.5837766
Brea,33.9166805,-117.9000604
Indio,33.7205771,-116.2155619
Scottsdale,33.4941704,-111.9260519
Columbus,39.9611755,-82.9987942
Lancaster,40.0378755,-76.3055144
Lincoln,40.8257625,-96.6851982
Trenton,40.2170534,-74.7429384
Boston,42.3600825,-71.0588801
Glendora,34.1361187,-117.865339
Rochester,44.0121221,-92.4801989
Rancho Palos Verdes,33.7444613,-118.3870173
Burnsville,44.7677424,-93.2777226
Rowlett,32.9029017,-96.56388
Roswell,33.3942655,-104.5230242
Montgomery,32.3668052,-86.2999689
Logan,41.7369803,-111.8338359
Woburn,42.4792618,-71.1522765
Allentown,40.6084305,-75.4901833
Mount Pleasant,32.8323225,-79.8284258
Columbus,32.4609764,-84.9877094
Buffalo,42.8864468,-78.8783689
New Berlin,42.9764027,-88.1084224
North Richland Hills,32.8342952,-97.2289029
Lima,40.742551,-84.1052256
Sacramento,38.5815719,-121.4943996
Fort Smith,35.3859242,-94.3985475
East Providence,41.8137116,-71.3700545
Urbandale,41.6266555,-93.7121656
Mount Vernon,40.9125992,-73.8370786
Lakewood,39.7047095,-105.0813734
Henderson,36.0395247,-114.9817213
Covina,34.0900091,-117.8903397
Stamford,41.0534302,-73.5387341
Bloomington,39.165325,-86.5263857
Kingsport,36.548434,-82.5618186
Spokane,47.6587802,-117.4260466
Kennewick,46.2112458,-119.1372338
Philadelphia,39.9525839,-75.1652215
Bellingham,48.74908,-122.4781473
Visalia,36.3302284,-119.2920585
La Crosse,43.8013556,-91.2395807
Council Bluffs,41.2619444,-95.8608333
North Lauderdale,26.217305,-80.2258811
Dallas,32.7766642,-96.7969879
Antioch,38.0049214,-121.805789
Sterling Heights,42.5803122,-83.0302033
Deerfield Beach,26.3184123,-80.0997657
Fishers,39.9567548,-86.01335
Cheyenne,41.1399814,-104.8202462
Murrieta,33.5539143,-117.2139232
Lenexa,38.9536174,-94.7335709
Folsom,38.6779591,-121.1760583
Prescott Valley,34.6100243,-112.315721
Las Cruces,32.3199396,-106.7636538
Bozeman,45.6769979,-111.0429339
Schaumburg,42.0333607,-88.0834059
Warren,42.5144566,-83.0146526
St. Peters,38.7874699,-90.6298922
Ames,42.034722,-93.62
Surprise,33.6292337,-112.3679279
Richardson,32.9483335,-96.7298519
Midland,43.6155825,-84.2472116
San Marcos,29.8832749,-97.9413941
Wilkes-Barre,41.2459149,-75.8813075
Appleton,44.2619309,-88.4153847
Shawnee,39.0228485,-94.7151865
Mentor,41.6661573,-81.339552
Livermore,37.6818745,-121.7680088
Charlotte,35.2270869,-80.8431267
Owensboro,37.7719074,-87.1111676
Jupiter,26.9342246,-80.0942087
Rohnert Park,38.3396367,-122.7010984
Chicago,41.8781136,-87.6297982
Billings,45.7832856,-108.5006904
Wauwatosa,43.0494572,-88.0075875
Lombard,41.8800296,-88.0078435
New Haven,41.308274,-72.9278835
York,39.9625984,-76.727745
Knoxville,35.9606384,-83.9207392
Elyria,41.3683798,-82.1076486
Barnstable Town,41.7003208,-70.3002024
Murray,40.6668916,-111.8879909
Alameda,37.7652065,-122.2416355
Manteca,37.7974273,-121.2160526
Rapid City,44.0805434,-103.2310149
Bell Gardens,33.9652918,-118.1514588
Commerce City,39.8083196,-104.9338675
Springfield,42.1014831,-72.589811
Fort Collins,40.5852602,-105.084423
San Leandro,37.7249296,-122.1560768
Vista,33.2000368,-117.2425355
Yonkers,40.9312099,-73.8987469
Cincinnati,39.1031182,-84.5120196
Hagerstown,39.6417629,-77.7199932
Sanford,28.8028612,-81.269453
Union City,40.6975898,-74.2631635
Toledo,41.6639383,-83.555212
Sierra Vista,31.5455001,-110.2772856
Newport News,37.0870821,-76.4730122
Hammond,41.5833688,-87.5000412
Buffalo Grove,42.1662831,-87.9631308
Sugar Land,29.6196787,-95.6349463
Huntsville,34.7303688,-86.5861037
Lodi,38.1341477,-121.2722194
Edmonds,47.8106521,-122.3773552
Duncanville,32.6518004,-96.9083366
Rocky Mount,35.9382103,-77.7905339
Pontiac,42.6389216,-83.2910468
National City,32.6781085,-117.0991967
Hayward,37.6688205,-122.0807964
Niagara Falls,43.0962143,-79.0377388
Sparks,39.5349112,-119.7526886
Hanford,36.3274502,-119.6456844
Cypress,33.8169599,-118.0372852
Bloomington,40.4842027,-88.9936873
Tracy,37.7396513,-121.4252227
Spartanburg,34.9495672,-81.9320482
Nashua,42.7653662,-71.467566
Macon,32.8406946,-83.6324022
Hempstead,40.7062128,-73.6187397
Camden,39.9259463,-75.1196199
Palm Desert,33.7222445,-116.3744556
Streamwood,42.0255827,-88.1784085
Chesapeake,36.7682088,-76.2874927
Dublin,40.0992294,-83.1140771
Camarillo,34.2163937,-119.0376023
Muskegon,43.2341813,-86.2483921
Elizabeth,40.6639916,-74.2107006
Anchorage,61.2180556,-149.9002778
Minot,48.2329668,-101.2922906
Davie,26.0764783,-80.2521157
McAllen,26.2034071,-98.2300124
McKinney,33.1972465,-96.6397822
Killeen,31.1171194,-97.7277959
Findlay,41.04422,-83.6499321
Oakland,37.8043637,-122.2711137
Mountain View,37.3860517,-122.0838511
Lake Elsinore,33.6680772,-117.3272615
Amarillo,35.2219971,-101.8312969
Provo,40.2338438,-111.6585337
Atlanta,33.7489954,-84.3879824
Monterey Park,34.0625106,-118.1228476
Strongsville,41.3144966,-81.83569
Madera,36.9613356,-120.0607176
Maplewood,44.9530215,-92.9952153
Medford,42.3265152,-122.8755949
Murfreesboro,35.8456213,-86.39027
Yuba City,39.1404477,-121.6169108
Shelton,41.3164856,-73.0931641
Cedar Falls,42.5348993,-92.4453161
Germantown,35.0867577,-89.8100858
Scranton,41.408969,-75.6624122
Auburn,32.6098566,-85.4807825
Manassas,38.7509488,-77.4752667
Vacaville,38.3565773,-121.9877444
Santa Monica,34.0194543,-118.4911912
Suffolk,36.7282054,-76.5835621
Rochester Hills,42.6583661,-83.1499322
La Quinta,33.6633573,-116.3100095
Charleston,38.3498195,-81.6326234
Delano,35.7688425,-119.2470536
St. Cloud,28.2489016,-81.2811801
Charleston,32.7764749,-79.9310512
Kannapolis,35.4873613,-80.6217341
Corona,33.8752935,-117.5664384
Rocklin,38.7907339,-121.2357828
Lee's Summit,38.9108408,-94.3821724
Palm Coast,29.5844524,-81.2078699
Sandy,40.5649781,-111.8389726
Bentonville,36.3728538,-94.2088172
Santa Clarita,34.3916641,-118.542586
Altamonte Springs,28.6611089,-81.3656242
New Braunfels,29.7030024,-98.1244531
Memphis,35.1495343,-90.0489801
Irving,32.8140177,-96.9488945
Alexandria,38.8048355,-77.0469214
Hesperia,34.4263886,-117.3008784
Holyoke,42.2042586,-72.6162009
Dunwoody,33.9462125,-84.3346473
Skokie,42.0324025,-87.7416246
Kearny,40.7684342,-74.1454214
Bethlehem,40.6259316,-75.3704579
Corpus Christi,27.8005828,-97.396381
Haverhill,42.7762015,-71.0772796
Hanover Park,41.9994722,-88.1450735
Cambridge,42.3736158,-71.1097335
Glendale,33.5386523,-112.1859866
Stanton,33.8025155,-117.9931165
Summerville,33.0185039,-80.1756481
Davenport,41.5236437,-90.5776367
Boca Raton,26.3683064,-80.1289321
New Britain,41.6612104,-72.7795419
Roseville,42.4972583,-82.9371409
Cleveland Heights,41.5200518,-81.556235
Gresham,45.5001357,-122.4302013
Lauderhill,26.1403635,-80.2133808
Hendersonville,36.3047735,-86.6199957
Santa Clara,37.3541079,-121.9552356
Oceanside,33.1958696,-117.3794834
Lake Forest,33.6469661,-117.689218
Novi,42.48059,-83.4754913
West New York,40.7878788,-74.0143064
Everett,42.40843,-71.0536625
Linden,40.6220478,-74.2445902
Asheville,35.5950581,-82.5514869
Compton,33.8958492,-118.2200712
Newport Beach,33.6189101,-117.9289469
Riverton,40.521893,-111.9391023
Yakima,46.6020711,-120.5058987
Dayton,39.7589478,-84.1916069
Gulfport,30.3674198,-89.0928155
Long Beach,33.7700504,-118.1937395
Chico,39.7284944,-121.8374777
Hattiesburg,31.3271189,-89.2903392
Eugene,44.0520691,-123.0867536
Colton,34.0739016,-117.3136547
Montebello,34.0165053,-118.1137535
Pleasanton,37.6624312,-121.8746789
Everett,47.9789848,-122.2020794
Hutchinson,38.0608445,-97.9297743
Fairfield,38.2493581,-122.0399663
Avondale,33.4355977,-112.3496021
Euclid,41.5931049,-81.5267873
Battle Creek,42.3211522,-85.1797142
Bloomington,44.840798,-93.2982799
Rock Island,41.5094771,-90.5787476
Beaverton,45.487062,-122.8037102
Kenner,29.9940924,-90.2417434
Clovis,34.4047987,-103.2052272
Troy,42.7284117,-73.6917851
Milpitas,37.4323341,-121.8995741
Des Plaines,42.0333623,-87.8833991
Placentia,33.8722371,-117.8703363
Taunton,41.900101,-71.0897674
Montclair,34.0775104,-117.6897776
Johnson City,36.3134397,-82.3534727
Savannah,32.0835407,-81.0998342
Warren,41.2375569,-80.8184166
Vancouver,45.6387281,-122.6614861
Sunrise,26.1669711,-80.256595
Muncie,40.1933767,-85.3863599
Lehi,40.3916172,-111.8507662
New York,40.7127837,-74.0059413
Simi Valley,34.2694474,-118.781482
West Covina,34.0686208,-117.9389526
Castle Rock,39.3722121,-104.8560902
Valdosta,30.8327022,-83.2784851
Fort Worth,32.7554883,-97.3307658
Carson,33.8316745,-118.281693
Evansville,37.9715592,-87.5710898
Santa Maria,34.9530337,-120.4357191
Brentwood,36.0331164,-86.7827772
La Mesa,32.7678287,-117.0230839
Westminster,39.8366528,-105.0372046
Reading,40.3356483,-75.9268747
Turlock,37.4946568,-120.8465941
Greeley,40.4233142,-104.7091322
Tyler,32.3512601,-95.3010624
Winter Garden,28.5652787,-81.5861847
Waco,31.549333,-97.1466695
Martinez,38.0193657,-122.1341321
Thousand Oaks,34.1705609,-118.8375937
Azusa,34.1336186,-117.9075627
Bridgeport,41.1865478,-73.1951767
St. Louis Park,44.9597376,-93.3702186
Chesterfield,38.6631083,-90.5770675
Greenacres,26.6276276,-80.1353896
Pasco,46.2395793,-119.1005657
Torrance,33.8358492,-118.3406288
Madison,43.0730517,-89.4012302
Janesville,42.6827885,-89.0187222
Waukegan,42.3636331,-87.8447938
Bowling Green,36.9685219,-86.4808043
Arlington,32.735687,-97.1080656
Lewisville,33.046233,-96.994174
Farmington,36.7280583,-108.2186856
Oakley,37.9974219,-121.7124536
Palo Alto,37.4418834,-122.1430195
Springfield,44.0462362,-123.0220289
Marysville,48.0517637,-122.1770818
Perris,33.7825194,-117.2286478
Cleveland,41.49932,-81.6943605
Worcester,42.2625932,-71.8022934
Columbia,34.0007104,-81.0348144
Waterbury,41.5581525,-73.0514965
Eagan,44.8041322,-93.1668858
Southfield,42.4733688,-83.2218731
Lafayette,30.2240897,-92.0198427
Boise City,43.6187102,-116.2146068
Elkhart,41.6819935,-85.9766671
Buena Park,33.8675143,-117.9981181
Marietta,33.952602,-84.5499327
Parker,39.5186002,-104.7613633
West Palm Beach,26.7153424,-80.0533746
Salem,42.51954,-70.8967155
Aurora,41.7605849,-88.3200715
Leesburg,39.1156615,-77.5636015
Doral,25.8195424,-80.3553302
Westminster,33.7513419,-117.9939921
Lubbock,33.5778631,-101.8551665
Overland Park,38.9822282,-94.6707917
Jackson,32.2987573,-90.1848103
Gastonia,35.262082,-81.1873005
Daytona Beach,29.2108147,-81.0228331
Kansas City,39.0997265,-94.5785667
Aliso Viejo,33.5676842,-117.7256083
Menifee,33.6971468,-117.185294
Loveland,40.3977612,-105.0749801
Carpentersville,42.1211364,-88.2578582
Providence,41.8239891,-71.4128343
Hialeah,25.8575963,-80.2781057
San Ramon,37.7799273,-121.9780153
Ontario,34.0633443,-117.6508876
Kirkland,47.6814875,-122.2087353
St. George,37.0965278,-113.5684164
Hilton Head Island,32.216316,-80.752608
Glendale,34.1425078,-118.255075
Meriden,41.5381535,-72.8070435
Gardena,33.8883487,-118.3089624
Westfield,42.1250929,-72.749538
Elgin,42.0354084,-88.2825668
Plano,33.0198431,-96.6988856
Longmont,40.1672068,-105.1019275
Coppell,32.9545687,-97.0150078
Lakewood,41.4819932,-81.7981908
Jonesboro,35.8422967,-90.704279
College Station,30.627977,-96.3344068
Dearborn,42.3222599,-83.1763145
Utica,43.100903,-75.232664
Monroe,32.5093109,-92.1193012
Baltimore,39.2903848,-76.6121893
Springfield,37.2089572,-93.2922989
Pine Bluff,34.2284312,-92.0031955
Plainfield,40.6337136,-74.4073736
Lynn,42.466763,-70.9494938
Woodbury,44.9238552,-92.9593797
Gainesville,29.6516344,-82.3248262
West Sacramento,38.5804609,-121.530234
Sammamish,47.6162683,-122.0355736
Aventura,25.9564812,-80.1392121
Fayetteville,36.0625795,-94.1574263
